alps	977686.458333
central low mountain ranges and harz	929517.737899
north sea coast	2500170.19167
low mountain ranges left and right of rhine	8616317.86171
baltic sea coast	12876544.426
north-east german lowland	27956374.5334
erz mountains, thuringian and bavarian forest	4121871.90095
upper rhine rift	5777420.10179
south-eeastern basin and hills	22395240.9263
west german lowland bay	29951666.099
alpine foothills	44249011.2546
alp and north bavarian hills	3476520.35179
north-west german lowland	15599378.8363
